x,y,x2,y2,angle,true angle
"105.1067153","204.9207361","164.4978298","203.8617579","-84.07668221","275.9233178"
"132.0638642","114.0746818","352.2273955","115.7850726","52.46740201","52.46740201"
"69.84698885","66.59199969","319.5682351","176.1437651","0.8194351041","0.8194351041"
"73.81738134","60.07501713","116.6631296","102.2832267","2.100609966","2.100609966"
"323.2104477","258.2357675","143.2714938","266.567524","-10.76382694","349.2361731"
"138.0327391","235.4196217","297.3831283","98.57745098","-0.6550644861","359.3449355"
"180.9410239","135.9574353","346.4403178","195.4258812","1.507586139","1.507586139"
"227.3651759","234.6041904","319.9236874","249.7465484","5.90271356","5.90271356"
"111.8653801","84.82694479","247.7758544","266.4639686","0.4931727888","0.4931727888"
"77.85794674","69.14745524","117.1515131","136.9489797","1.305902319","1.305902319"
"248.0379222","183.1858039","339.8084506","170.6089677","-7.10637284","352.8936272"
"225.9338364","107.1801389","235.8859407","146.1450424","2.162512911","2.162512911"
"272.2920489","34.87865667","307.8514353","105.646488","1.24900188","1.24900188"
"179.6556873","154.4871468","356.4866017","136.9614961","-5.116842215","354.8831578"
"154.5369979","256.8215688","123.7556002","258.1890204","-64.45513397","295.544866"
"164.1186354","30.42693343","313.4713417","82.6621047","1.715632901","1.715632901"
"30.83110588","176.8054996","37.18011166","245.24992","1.184160266","1.184160266"
"222.6616326","243.053855","204.1673069","121.1408755","0.7128444795","0.7128444795"
"212.9601938","69.71550596","357.0374997","173.9528423","0.8595992154","0.8595992154"
"261.2795468","124.740393","48.07555082","39.45600515","1.05214175","1.05214175"
"49.25613963","228.4087905","36.48508997","89.60679108","0.6161493057","0.6161493057"
"124.7607848","75.99600024","44.56630696","255.2802246","-0.498011339","359.5019887"
"105.8175045","141.0715837","170.8737426","108.5448737","-2.739882322","357.2601177"
"331.5642697","78.11720471","238.5495229","236.1173889","-0.5657210986","359.4342789"
"250.0687562","146.4512982","241.7896738","40.49493107","0.784406062","0.784406062"
"57.49053911","205.639093","191.0287239","223.3347808","5.061738762","5.061738762"
"282.4533376","82.16951765","96.91265951","227.3066135","-0.6179757012","359.3820243"
"123.3140076","121.9003961","357.4019773","128.8451616","12.92415694","12.92415694"
"166.5517302","133.3489178","167.8526266","215.8372386","0.6358535418","0.6358535418"
"101.5594684","73.74291818","304.7919019","167.2516791","0.9594617546","0.9594617546"
"110.4097222","236.7666103","42.21634709","241.6812635","-18.14163927","341.8583607"
"45.66984353","66.55006529","129.6488111","208.8011625","0.6278880833","0.6278880833"
"302.532179","211.162302","295.5111373","69.95072715","0.5799378626","0.5799378626"
"359.3815324","224.3481633","247.7721201","175.6873326","1.838987386","1.838987386"
